0.805	-1.889010	-1.526459
0.807	-1.889931	-1.527296
0.810	-1.889931	-1.527453
0.812	-1.889536	-1.526674
0.815	-1.892037	-1.529004
0.818	-1.891642	-1.528694
0.820	-1.890852	-1.528107
0.823	-1.891181	-1.528266
0.825	-1.890918	-1.528096
0.828	-1.891839	-1.528851
0.830	-1.892761	-1.529102
0.833	-1.893090	-1.529884
0.835	-1.893090	-1.529903
0.838	-1.892826	-1.529262
0.840	-1.893221	-1.530009
0.843	-1.892629	-1.529494
0.845	-1.893090	-1.529732
0.848	-1.896051	-1.532173
0.850	-1.895459	-1.531560
0.853	-1.895327	-1.531602
0.855	-1.896249	-1.532151
0.858	-1.894406	-1.530852
0.860	-1.894998	-1.531115
0.863	-1.896841	-1.532675
0.865	-1.898223	-1.534163
0.868	-1.897236	-1.533138
0.870	-1.896709	-1.532926
0.873	-1.897038	-1.532955
0.875	-1.899210	-1.534668
0.878	-1.901118	-1.536418
0.880	-1.901316	-1.536169
0.883	-1.902895	-1.537757
0.885	-1.902895	-1.537751
0.888	-1.902237	-1.537375
0.890	-1.900065	-1.535704
0.893	-1.900789	-1.535965
0.895	-1.902303	-1.537264
0.897	-1.904014	-1.538488
0.900	-1.903948	-1.538854
0.902	-1.902961	-1.538032
0.905	-1.901118	-1.536302
0.907	-1.902566	-1.537330
0.910	-1.902500	-1.537437
0.912	-1.903093	-1.537515
0.915	-1.905791	-1.540169
0.917	-1.905791	-1.540160
0.920	-1.904409	-1.539123
0.922	-1.904738	-1.539415
0.925	-1.905593	-1.540055
0.927	-1.905001	-1.539453
0.930	-1.906844	-1.540544
0.932	-1.906712	-1.541121
0.935	-1.905330	-1.539664
0.937	-1.905922	-1.540232
0.940	-1.905659	-1.539880
0.943	-1.906975	-1.541083
0.945	-1.906712	-1.540856
0.948	-1.909542	-1.543032
0.950	-1.908489	-1.542480
0.953	-1.908950	-1.542655
0.955	-1.909015	-1.542675
0.958	-1.908686	-1.542401
0.960	-1.908818	-1.542586
0.963	-1.908950	-1.542309
0.965	-1.911582	-1.545126
0.968	-1.909871	-1.543451
0.970	-1.909542	-1.543182
0.973	-1.909542	-1.543086
0.975	-1.910990	-1.544236
0.978	-1.910661	-1.543907
0.980	-1.912372	-1.544980
0.983	-1.913622	-1.546623
